"r no ","ACCESSION_NO","LANG_CODE","పుస్తకం పేరు ","బుక్ నేమ్ ","రచయిత ","పబ్లిషర్ ","PLACE_OF_PUB","PAGINATION","ITEM_RUPEES","YEAR_OF_PUB"
"34873","65422","TEL","శవానికి సంకెళ్ళు ","SEVANIKI SANKELLU","NARAYANA RAMBABU","MANIKANTA PUBLICATIONS","VIJAYA VADA","894.827213","90","16"
"34874","65423","TEL","సేవాసదనము","SEVASADANAMU","SURYANARAYANA GODAVARTHI","MUTYALA SALA PRACHURANAMULU","HYDERA BAD","894.82732","176","1.7"
"34875","65424","TEL","సేవాస్రామామ ","SEVASRAMAM","కొండ జయలక్ష్మి KONDA JAYALASHMI","SARASWATHI  BOOK DEPOT","RAJAMAHENDRA VARAM","894.827313","228","1.5"
"34877","65426","TEL","సేవోజీ","SEVOJI","శ్రీపాద కామేశ్వరరావు SRIPADA KAMESWARARAO","CHERUKUVADA VENKATRAMAYYA","RAJAHAMANDRY","891.4536","104","0.75"
"34878","65427","TEL","సెక్స్ ఎడ్యుకేషన్ ","SEX EDUCATION","YARRA","YARRA NAGESWARRAO","GUNTUR","612.6","185","70"
"34879","65428","TEL","సెక్స్ సైన్స్","SEX SCIENCE","SAMARAM G","NAVABHARATHI BOOK HOUSE","VIJAYAWADA","894.82761396","208","15"
"34880","65429","TEL","సెక్స్ సైన్స్ 1 ","SEX SCIENCE 1","సమరం SAMARAM","NAVABHARAT BOOK HOUSE","VIJAYAWADA","894.82761396","220","10"
"34881","65430","TEL","సెక్స్ సైన్స్ 2 ","SEX SCIENCE 2","సమరం SAMARAM","NAVABHARAT BOOK HOUSE","VIJAYAWADA","894.8276139","228","10"
"34882","65433","TEL","షా ","SHA","SAI YARRAM SETTI","GURU PUBLICATIONS","VIJAYAWADA","894.82731","264","25"
"34883","65434","TEL","షా","SHAA","SAI YERRAMSETTY","GURU PUBLICATIONS","VIJAYA WADA","894.82731","251","25"
"34884","65435","TEL","శబరి ","SHABARI","VENUGOPALAKRISHNAMURTHY PEMMRAJU","KALAAKUTEERAM","THIRUVURU","894.82719","72","1.25"
"34885","65436","TEL","శబ్ద భాస్కరు ","SHABDA BHASKARU","RAMARAO PALAVAJJALA","SRI HARANADHA GRANDHAMALA","KRISHNA DISTRICT","894.32","300","2"
"34886","65437","TEL","షబ్న వీస్ ","SHABNAVEES","SRINIVAS SANGISETTI","TELANGANA RESEARCH AND RIFARAL CENTER","HYDERA BAD","050.548","192","100"
"34887","65438","TEL","షడ్డర్శనములు ","SHADDARSANAMULU","పేరి సూర్యనారాయణశాస్త్రి SURYANARAYANA SASTRI PERI","PUSAPATI LAKSHMI NARASIMHARAJA","VIJAYNAGARAM","181.406","250","10"
"34888","6544","TEL","షడ్డర్శనములు ఆయుర్వేదము ","SHADDARSANAMULU AYURVEDAMU","VENKATRAMAYYA PILLALA MARRI","YOGETHESA PUBLICATIONS","SECUNDERABAD","615.536","88","80"
"34889","65440","TEL","షాడో దర్బార్ ","SHADOW DARBAR","PANUGANTI","SARASWATHI PUBLICATIONS","VIJAYAWADA","894.827313","216","50"
"34890","65441","TEL","షెడ్యూల్డ్ కులాల తెగల చట్టం నిబంధనలతో పౌరహక్కుల దక్షణ చట్టం నిబంధనలతో ","SHADULD KULALA TEGALA CHATTAM NIBHANDANALATHO POWRA HAKKULA DAKSHANA CHATTAM NIBANDHANALATHO","KRISHNARAO NANDIGAM","ASIA BOOK HOUSE","HYDERABAD","345.02332","66","40"
"34891","65443","TEL","షడ్వర్గ భలము ","SHADVARGA BHALAMU","వాడ్రేపు సూర్యనారాయణమూర్తి SURYANARAYANAMUTHY VADREPU","RACHAYITA","RAJA MAHENDRAVARAMU","133.5","45","0.8"
"34892","65444","TEL","షహీద్ భగత్ సింగ్ ","SHAHEED BHAGAT SING","పోలవరపు శ్రీహరిరావు POLAVARAPU SRIHARIRAO","JAYANTHI  PUBLICATIONS","VIJAYAWADA","923.254","155","7.5"
"34897","65449","TEL","షాజహాన్","SHAJAHAN","PRASAD","NAVAJYOHI PUBLICATIONS","V IJAYAWADA","894.82731","240","20"
"34898","6545","TEL","శక్తి ఇరవాయ్యోశతాబ్దపు సమస్య ","SHAKTHI IRAVAYO SATABDAPU SAMASYA","BARIS RACHKOV","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","665.5","76","4"
"34901","65452","TEL","శలకా రామ ","SHALAKA RAMA","MALLA REDDY GAJJELA","VISHALANDHRA PUBLICAHING HOUSE","VIJAYA WADA","894.827167","114","3.5"
"34902","65453","TEL","షాంగ్రీల ","SHANGRILA","SURESH MUDDA","SRI VENKATESWARA PUBLICATIONS","VIJAYA WADA","894.82731","228","25"
"34904","65455","TEL","శంకర్కభరణము ","SHANKARABHARANAMU","VAMSI","PURNODAYA BOOK LINKS","మద్రాస్","778.53","149","4"
"34905","65456","TEL","షణ్ముఖ ప్రియ","SHANMUKHA PRIYA","RANGANAYAKAMMA","SWEET HOME PUBLICATIONS","VIJAYAWADA","894.827313","95","3"
"34906","65457","TEL","శాంతి నికేతన్ ","SHANTHI NIKETAN","KOUSALYA DEVI KODURI","SARVODAYA PUBLICATIONS","V IJAYAWADA","894.313","452","7"
"34908","65459","TEL","శాంతి నికేతన్ కన్నడం ","SHANTHI NIKETAN KANNADAM","కోడూరి కౌసల్యదేవి KOUSALYADEVI KODURI","SAHITYA JYOTHI","BENGLOORE","894.814","489","10"
"34909","6546","TEL","శాంతి నికేతన ","SHANTHI NIకేతన KETANA","కోడూరి కౌసల్యదేవి KOUSALYADEVI KODURI","SAHITYA JYOTHI","BENGLORE","894.814","484","10"
"34910","65460","TEL","శాంతి నికేతన కన్నడం ","SHANTHI NIకేతన KETANA KANNADAM","KOUSALYA DEVI KODURI","SAHITYA JYOTHI","BENGLOORE","894.814","489","10"
"34911","65461","TEL","శాంతి పర్వము ","SHANTHI PARVAMU","KRISHNAMURTHY SHREEPADA","LALITHA","RAJAMUNDRY","894.827131","648","2"
"34912","65462","TEL","శాంతి విజయము ","SHANTHI VIJAYAMU","చంద్రం CHANDRAMATHIDEVI S","MSR MURTHY","VISAKHAPATANAM","894.827132","100","2"
"34913","65463","TEL","శాంతి పావురాలు ","SHANTI PAVURALU","VIJAYALAKSHMI KAATURU","SRI VENKATESWARA PUBLICATIONS","VIJAYAWADA","894.827325","40","5"
"34914","65464","TEL","శాంతినికేతనము ","SHANTINIకేతన KETANAMU","రవీంద్రనాథ్ ఠాగూర్ RAVINDRANATH  TAGOR","SANTHI KUTEERAM","PITAPURAM","294.54","302","1.8"
"34915","65465","TEL","శాంతిశ్రీ ఏక పాత్రల సంకలనం ","SHANTISRI EKAPATRALA SANKALANAM","MYTHREYA","NAGARJUNA SAAMSKRUTHIKA SAMMELANA","VIJA`YAWADA","894.82726","48","2"
"34916","65466","TEL","శాపము 2వ భాగం ","SHAPAMU 2VA BHAGAM","చిలకమర్తి లక్ష్మినరసింహం LAKSHMI NARASIMHAM CHILAKAMARTHI","TIRUPATHI VENKATESWARA BOOK DEPOT","RAJAHMUNDRY","894.12","230","1.4"
"34918","65468","TEL","షరామామూలే ","SHARAMAMULE","INAAK KOLATALURI","JYOTHI GRANDHAMALA","ANANTAPURAM","894.82717","115","10"
"34921","65470","TEL","శరణానందము ","SHARANANANDAMU","TIRUPTHI VENKATESWARA KAVULU","CHELLAPALLI VENKATESWARA KAVI","INJARAM","894.1827","86","15"
"34922","65471","TEL","శరత్ చంద్ర చటర్జీ ","SHARATH CHANDRA CHATARJI","SUBRAHAMANYASHARMA PURANAM","A P SAHITYA ACADAMI","HYDRABAD","491.445","25","0.5"
"34924","65473","TEL","శర్మిష్ట ","SHARMISHTA","VENAKATAకృష్ణ శాస్త్రి KRISHNA SASTRI DEVULAPALLI","KRISHNASASTRI SANMANA SANGAM","మద్రాస్","894.827291","186","8"
"34927","65476","TEL","శాసన శబ్దకోశము (ఆంధ్రప్రదేశము )","SHASANA SHABDAKOSHAMU (ANDHRA PRADESHAMU)","ESWARA DATTU KUNDURI","ANDHRA PRADEASH SAHITHI ACADAMY","HYDERABAD","894.82717","324","32"
"34928","65477","TEL","శాసనలలో ఆంధ్ర స్త్రీలు ","SHASANALALO ANDHRA STRILU","KAMALADEVI MUPPALLA","M KAMALADEVI","TUNI-1","920.7209","68","30"
"34929","65478","TEL","శశాంక విజయము ","SHASANKA VIJAYAMU","వెంకటపతి VENKATAPATHI SESAMU","EMES CO","MACHILIPATNAM","894.132","188","4.25"
"34930","65479","TEL","శశిరేఖ ","SHASIREKHA","చలం CHALAM","అరుణ పబ్లిషింగ్ హౌస్, విజయవాడ ","VIJAYAWADA","894.827313","184","8"
"34931","6548","TEL","శశిరేఖా ","SHASIREKHA","VENKATAచలం CHALAM GUDUPATI","ADDEPALI AND CO","RAJAHMUNDRY","894.311","251","1.5"
"34932","65480","TEL","షష్టిత ","SHASTITA","SATYANARAYANACHOUDARI","BHASHA POSHAKA GRANDHA MANDALI","TENALI","8943.8271","35","0.5"
"34933","65481","TEL","శతకర్ణ (చారిత్రిక నవల )","SHATAKARNI (CHARITRIKA NAVALA)","కారుగంటి సీతారామయ్య SEETHA RAMAYYA KURUGANTI","JANTHA PUBLICATIONS","SECENDRABAD","894.827312","116","1.25"
"34942","65506","TEL","శతావతారాజు ","SHATAVATARAJU","NAGABHUSHANAM MUKKAMALA","VISHALANDRA PUBLICASHING HOUSE","V IJAYAWADA","894.11827","92","3.5"
"34943","6551","TEL","షట్కాధామంజరి ","SHATKADHAMANJARI","శిష్టా వెంకటసుబ్బయ్య VENKATASUBBAYYA SISHTA","KAMALAKUTEER POWER PRESS","NARASAPURAM","894.82732","103","1"
"34944","6553","TEL","షట్కావ్య మంజరి ","SHATKAVYA MANJARI","చర్ల గణపతిశాస్త్రి GANAPATHI SASTRI CHARLA","C G SASTRI","PAGOJILLA","894.8271","75","3"
"34946","6554","TEL","షట్పదగీతి అను రామాయణ సంగ్రహము ","SHATPADAGEETI ANU RAMAYANA SANGRAHAMU","పాల్కురికి నృసింహశర్మ NRUSIMHASARMA PALKURIKI","RACHAITA","SITARAMAPURAM","894.8207167","20","0.25"
"34948","6556","TEL","షట్పది ","SHATPADI","VASANTAKUMARIDEVI PINDIPROLU","SAHITI SAMITI","GUNTUR","894.82717","96","2"
"34950","65566","TEL","షీ మెన్ ","SHE MEN","VENUGOPALRAO KOMMURI","SRI VIJAYALAXMI PUBLICATIONS","VIJAYAWADA 2","894.82731","388","45"
"34951","65567","TEL","షేక్స్పియరు జీవిత కధ ","SHEKSEPIYARU JIVITA KADHA","SYAMALARAO BALANTRAPU","TELUGU VELUGU PRACHURANALU","AMALAPURAM","928.2","30","1.5"
"34952","65568","TEL","షెక్స్పెయర్ జీవిత కధ ","SHEKSPEAR JEEVITHA KADHA","SYAMALARAO BALAMTRAPU","TELUGU VELUGU PRACHURANALU","AMALAPURAM","928.22","30","1.5"
"34954","6557","TEL","షెక్స్పెయర్ నాటక కధలు ","SHEKSPEAR NATAKA KADHALU","SATYANARAYANA ANDAVALLI","నవోదయ, విజయవాడ AGENCIES","V IJAYAWADA","822.33","158","18"
"34955","65570","TEL","శేషేంద్ర జాలం ","SHESHENDRA JALAM","SOMASUNDAR","KALAKELI PRACHURANALU","PITHAPURAM","894.82709","154","6"
"34956","65571","TEL","షూ గప్ చుప్ ","SHHH GUPCHUP","VENKATAKRISHINAMURTHI MALLATHI","శ్రీ శ్రీ SRI SRINIVAS PUBLISHING HOUSE","GUNTUR","894.82731","368","36"
"34957","65572","TEL","షీకాగో నాగరోపన్యాసములు ","SHIKAGO NAGAROPANYASAMULU","వివేకానంద VIVEKANANDA","SRI RAMAKRISHNA MADAMU","మద్రాస్","080.954","82","0.5"
"34959","65574","TEL","షికారి ","SHIKARI","USHA DEVINENI","RAVITEJA PUBLICATIONS","VIJAYAWADA 2","894.82731","236","36"
"34960","65575","TEL","శిక్ష ","SHIKSHA","KAMESHWARI D","ARUNA PBULISHING HOUSE","VIJAYAWADA","894.827","133","4.5"
"34966","65580","TEL","షిన్ మూడు చక్రాల సైకల్ ","SHIN MUDU CHAKRALA CYCLE","MADHAVI K","JANA VIGNANA VEDHIKA","NELLORE","370.1","31","7"
"34967","65581","TEL","శివ లీలలు ","SHIVA LEELALU","RANGANADH PURANAPUNDA","NAVARATNA BOOK  CENTER","VIJAYAWADA","894.8272965925","92","8"
"34968","65582","TEL","శివ రహస్య ఖండము ","SHIVA RAHASYA KHANDAMU","కోడూరి వెంకటచల కవి VENKATACHALA KAVI KODURI","SATTIRAJU SITHARAMAYYA","ELURU","894.82712","157","1"
"34969","65583","TEL","శివం పిల్లల కధలు","SHIVAM PILLALA KADHALU","కోట సోదరకవులు KOTA SODARAKAVULU","BALA SARASWATI BOOK DEPO","KARNOOL","894.82732","31","0.62"
"34973","65587","TEL","శివా నందలహరి ","SHIVANANDA LAHARI","SANKARACHARYULU","KONDAPALLI VENKAYYA","RAJAHMUNDRY","181.482","78","0.1"
"34974","65588","TEL","శివానంద సౌందర్య లహరులు ","SHIVANANDA SOWNDARYA LAHARULU","రాధా RADHAKRISHNAMURTI C","PURANAPANDA రాధా RADHA KRISHNA MURTI JAYA SRI TAKESU PRAKANA","RAJAHMENDRY","181.482","56","10"
"34977","65591","TEL","శివతత్త్వ సారము ","SHIVATATHVASARAMU","MALLIKARJUNA PANDITUDU","KRISHNAPATRIKAKARYALAYAMU","HYDERA BAD","8940827132","104","5"
"34982","65596","TEL","శివయోగి వేమన ","SHIVAYOGI వేమన VEMANA","CHINAVEERAYYA BOOSA","OM NAMA SIVAYA  SANSKRUTHIKA PARISHATTU","SECUNDRABAD","928.848274","116","60"
"34983","65597","TEL","షోడశ కుమార చరిత్రము ","SHODASA KUMARA CHARITHRAMU","ANNAYYAKAVI VENNELAKANTI","ANDHRASAHITHYA PARISHAT","KAKINADA","894.827132","166","0.5"
"34986","65600","TEL","షోడసి రామాయణ రహస్యములు ","SHODASI RAMAYANA RAHASYAMULU","SESHENDRASARMA GUNTUR","TTD DEVASTANAM","TIRUPATHI","294","210","7"
"34989","65603","TEL","శూద్రవర్ణం ఎలా పుట్టింది ","SHUDRAVARNAM ELA PUTTINDI","SHARMA R S","HYDERABAD BOOK SONS","HYDERABAD","305","196","22"
"34991","65605","TEL","శిబి చక్రవర్తి ","SIBI CHAKRAVARTHI","RAJఈశ్వరరావు ESWARARAO P","PRATHIBA PUBLICATIONS","HYDERABAD","894.827","47","25"
"34994","65608","TEL","సిద్ద చక్ర ","SIDDA CHAKRA","చల్లా రామజ్ఞానపతి ప్రసాద్ RAMAGANAPATHI PRASADA SASTRI CHALLA","JAIN ADHYATMIKA KENDRAM","RAJAMANDRY","894.827232","36","0.15"
"35000","65614","TEL","సిద్ద చక్ర (నాల్గు అంకముల నాటిక )","SIDDA CHAKRA (NALUGUANKAMULANATIKA)","RAMAGANAPATHI PRASADA SASTRI CHALLA","JAIN ADYADMIKA KENDRAM","VIJA`YAWADA","894.82723","36","0.15"
"35002","65616","TEL","సిద్ద హస్తుడు దామెర్ల రామారావు","SIDDA HASTUDU DHAMERLA RAMARAO","RAJAJI M","M RAJAJI KANCHUMARTHI VEEDI","RAJAHMUNDRY","709.2","48","10"
"35005","65619","TEL","సిద్దేంద్ర యోగి ","SIDDAENDRA YOGI","GANGAPA S","TELUGU VISWA VIDHYALAYAM","HYDERA BAD","922.945","43","3"
"35006","65620","TEL","సిద్దాంత తత్వ దర్శనము (వ్యాస మహర్షి)","SIDDANTA TATVADARSANAMU (VYASA MAHARSHI)","చర్ల గణపతిశాస్త్రి GANAPATHISASTRI CHARLA","చర్ల గణపతిశాస్త్రి CHARLA GANAPATHI SASTRI  ARSHA GRANDHAMALA","NIDADAVOLU","181.4","20","1"
"35007","65621","TEL","సిద్దేంద్ర యోగి ","SIDDENDRA YOGI","GANGAPA S","TELUGU VISWA VIDHYALAYAM","HYDERA BAD","922.945","43","3"
"35008","65622","TEL","సిద్ధచక్ర ","SIDDHA CHAKRA","చల్లా రామగణపతి ప్రసాద శాస్త్రి RAMAGANAPATHI PRASADA SASTRI CHALLA","JAIN ADHYATMIKA KENDRAM","RAJAHMUNDRY","894.82723","36","0.5"
"35009","65623","TEL","సిద్ధా పురుషులు","SIDDHA PURUSHULU","టి.ఎం.జె.మహదేవన్ MAHADEVAN TMG","ORIENT  LONGMAN","NEW  DEHLI","923.945","127","1.6"
"35011","65694","TEL","సిద్ద వైద్యం ","SIDDHA VAIDDYAM","GHOSH ANNAM AK","M K R PUBLICATIONS","VIJAYA VADA","615.5326","96","30"
"35012","65695","TEL","శిధిల స్వరాలు ","SIDHILA SWARALU","MALLIKHARJUNARAO UNDAVALLI","ANUTHI PUBLICATIONS","KAKARAPATTU","894.82718","50","12"
"35013","65696","TEL","శీధిలాల నుంచి శిఖరాల ","SIDHILALA NUNCHI SIKHARALA","NIRMALA PRABAVAT PAVANI","M SESAచలం CHALAM AND CO","MACHILIPATNAM","894.8275","151","3.5"
"35014","65697","TEL","సిధిలాలయం","SIDHILALAYAM","గోపీచంద్ GOPICHAND","DESI BOOK DISTRIBUTERES","VIJAYAWADA","894.827","132","5"
"35015","65698","TEL","సిధిలాలయం ","SIDHILALAYAM","GOPI CHADNU","YUVA PRACHURANALU","HYDERA BAD","894.313","96","1.75"
"35016","65699","TEL","సిగ్గెస్తోంది ","SIGGESTONDI","VEERENDRANADH YANDAMURI","SARASWATHI PUBLICATIONS","VIJAYAWADA","894.827313","244","50"
"35017","65700","TEL","సిగ్గు సిగ్గు ","SIGGU SIGGU","NANDI NR","MAHALAXMI BOOK ENTERPRISES","VIJAYAWADA","894.827313","323","25"
"35018","65701","TEL","సిగ్మండ్ ఫ్రీడ్ ","SIGMAND FRIED","VENKATESWARA REDDI ANNAPAREDDI","TELUGU ACADAMI","HYDERA BAD","158","235","6.5"
"35019","65702","TEL","సిగ్మండ్ ఫ్రైడ్ జీవితం కృషి ","SIGMAND FRIED JEEVITAM KRUSHI","RAJARAM PARACHURI","KEETHI PUBLICATIONS","V IJAYAWADA","150.1952","243","30"
"35020","65703","TEL","సిగ్మండ్ ఫ్రొయిడ్ ","SIGMAND FROID","VENKATESWARA REDDY","TELUGU ACADAMY","HYDERA BAD","150.1952","235","25"
"35021","65704","TEL","సిగ్మండ్ ఫ్రొయిడ్ జీవితం కృషి ","SIGMAND FROID JEEVITHAM KRUSHI","RAJARAM PARUCHURI","KEERTHI PUBLICATIONS","VIJAYAWADA","926.1","243","40"
"35022","65705","TEL","సింహాసేనాపతి ","SIHASENAPATI","SAMKRUTYAYAN RAHUL","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","891.433","272","15"
"35023","65706","TEL","శిఖా యజ్ఞో పవీతరహాస్యము ","SIKHAYAGNOPAVEETARAHASYAMU","SRIRAMCHARYULU","ADYATMPRACHARAKASANGAMU","RAJAHMANDRY","294.53","34","1"
"35024","65707","TEL","శిక్ష ","SIKSHA","SULOCHANA MADHAREDDY","MAHALAKSHMI BOOK ENTERPRAISES","VIJAYAWADA","894.82731","304","22"
"35025","65708","TEL","శిక్షణా విచారధార ","SIKSHANA VICHARA DHARA","వినోబా VINOBA","SARVA SEVA SANGA  PRACHURANA","HYDERA BAD","370","392","2"
"35026","65709","TEL","శిలా మురళి ","SILA MURALI","SRIKANTHSARMA INDRAGANTI","SURUCHI PRACHURANA","ELURU","894.827167","112","3"
"35027","65710","TEL","శిలామురళి ","SILA MURALI","SRIKANTH SARMA INDRAGANTI","SURICHI PRACHURANALU","ELLORE","894.827167","112","4"
"35028","65711","TEL","శిలా పుష్పం ","SILA PUSHPAM","కె.రామలక్ష్మి RAMALAXMI K","CREATIVE BOOK DISTRIBUTORS","మద్రాస్","894.82731","220","18"
"35029","65712","TEL","శిలా శాస్త్రము ","SILA SASTRAMU","RAMANARAO N","TELUGU AKADAMI","HYDERABAD","552","327","17.5"
"35030","65713","TEL","సిలకమ్మ పాటలు ","SILAKAMMA PATALU","SAMBASIVARAO RAVELA","SAHITHIMITHRULU","MACHILIPATNAM","894.827167","40","5"
"35031","65714","TEL","శిలలో సెలయేరు ","SILALO SELAYERU","ఎం.కె.సుగంబాబు SUGAMBABU MK","VENKATESWARA AND CO","GUNTUR","894.827167","56","2"
"35032","65715","TEL","శీలమురళి ","SILAMURALI","SRI KANTHA SARMA INDRAGUNTA","SURUBI PRACHURANALU","ELURU","894.8271","112","3"
"35033","65716","TEL","శిలా శాసనం ","SILASASANAM","GANAPATHIRAO KOMMANAPALI","MADHUPRIYA PUBLICATION","VIJAYA WADA","894.82731","382","30"
"35034","65717","TEL","శిలీంద్రాలు వృక్షవ్యాధులు ","SILEENDRALU VRUKSHA VYADHULU","RAMARAO PANNURI","TELUGU  AKADMI","HYDERA BAD","589","326","8.25"
"35035","65718","TEL","సిలెంధ్రాలు వృక్ష వ్యాధులు","SILENDHRALU VRUKSHA VYADHULU","RAMARAO PANNURI","TELUGU ACADEMY","HYDEABAD","589.2","237","12.75"
"35036","65719","TEL","సైలెంట్ లవ్ ","SILENT LOVE","SIVARAM","SIVA RAM PUBLISHING HOUSE","VIJAYAWADA","894.827313","216","50"
"35038","65721","TEL","శిల్ప ప్రభావతీ ","SILPA PRABHAVATI","CHANDRASEKHAR REDDY RACHAPALEM","SILPI PRACHURANALU","ANANTAPURAM","894.82713201","291","25"
"35039","65722","TEL","శిల్ప శీక","SILPA SEEKA","VEERRAJU SEELA","SEELAA VEERRAJU","HYDEABAD","741.95484","76","35"
"35040","65723","TEL","శిల్పశ్రీః ","SILPA SRIH","VENKATRAMACHARYULU DURISETI","SOPARNA GRANDHAMALA","NUJIVEEDU","891.21","16","1"
"35041","65724","TEL","శిల్ప ప్రభావతీ ","SILPAPRABHAVATI","CHANDRASEKHARAREDDY RACHAPALEM","SAHITHYA  ACADAMY","NEW  DELHI","894.827132","231","30"
"35042","65725","TEL","శిల్పి ప్రభావతీ ","SILPI PRABHVATI","CHANDRASEKHRA REDDY RACHAPALEM","RACHAITA","ANANTAPUR","894.82713201","291","25"
"35043","65726","TEL","శిలువ ధారి ","SILUVA DHARI","JEMS KORRAPATI","NIREEKSHANA NILAYAM","KOMMURU","894.211","112","40"
"35044","65727","TEL","సింగమనేని నారాయణ కధలు ","SIMGAMANENI NARAYANA KADHALU","NARAYANA SIMGAMANENI","VISALANDHRA  PUBLICATIONS HOUSE","HYDERABAD","894.82732","157","50"
"35046","65729","TEL","సింగినాదం జీలకర్ర ","SIMGINADAM JILAKARRA","GANGADHARARAO PARVATHANENI","ANDHARAPRADESH BALALA ACADEMY","HYDERA BAD","894.82733","68","3"
"35047","65730","TEL","సింహ గర్జన ","SIMHA GARJANA","టి.రామచంద్రరావు RAMACHANDRARAO TANDARPA","VISWA HINDU PARISHATH","ANDHRA PRADESH","294.51","40","2.25"
"35048","65731","TEL","సింహగిరి ","SIMHA GIRI","పడాల PADALA","ANDHRA SRI PUBLICATION","RAJAHMUNDRY","894.827311","218","6"
"35050","65733","TEL","సింహద్రప్పన్న అను సింహాచల క్షేత్ర మహత్యము ","SIMHADRAPPANNA ANU SINMHACHALA KSHETRA MAHATYAMU","గంటి సూర్యనారాయణశాస్త్రి SURYANARAYANASASTRI GANTI","VASIRAJA VIDHYA PEETAM","SIMHAచలం CHALAM","894.827211","76","1"
"35051","65734","TEL","సింహగడము ","SIMHAGADAMU","సురబి నరసింహం NARASIMHAM SURABI","VEDULA SRIRAMA CHANDRA KIRTHI","RAJAHMUNDRY","894.827212","96","0.8"
"35053","65736","TEL","సింహగడము (నాటకము )","SIMHAGADAMU (NATAKAMU)","సురభి నరసింహము NARASIMHAMU SURABHI","NALLPURAJU VEERANARASIMHARAO AND BRO","KALAVACHARLA","894.827212","96","2.8"
"35054","65737","TEL","సింహగిరి వచనములు ","SIMHAGIRI VACHANAMULU","KRISHNAMACHARYA","A P SAAHITYA ACADEMY","HYDERABAD","894.8278","48","2.5"
"35055","65738","TEL","సింహ జ్వాల ","SIMHAJWALA","ABYUDAYASRI","RAJYALAKSHMI BOOK DEPO","RAJAHMUNDRY","894.827213","26","7"
"35056","65739","TEL","సింహాసన ద్వాత్రీంసిక ","SIMHASANA DVATRIMSIKA","GOPARAJU KORAVI","ANDHRA SAHITYA PARISHAT","KAKINADA","894.827132","250","1.5"
"35057","65740","TEL","సింహాసన ద్వాత్రింశిక ","SIMHASANA DWATRIMSIKA","GOPARAJU KAARAVI","ANDHRA SAHITHI PARISHAD","HYDEARABAD","894.827132","250","1.5"
"35060","65743","TEL","సింహాసన ద్వాత్రింసక ","SIMHASANA DWATRIMSIKA","GOPARAJU KAARAVI","A P SAAHITYA ACADEMY","HYDERABAD","894.827","490","10"
"35061","65744","TEL","సింహావలోకనం ","SIMHAVALOKANAM","YASAPAAL","SIMHUL SAHITYA SADANAM","GUDIVADA","133.5","204","10"
"35062","65745","TEL","సినారె కవితా బింబం ","SINARE KAVITA BIMBAM","RAMAKRISHNA MADDULURI","VISALANDHRA PABLICHING HOUSE","HYDRABAD","894.827108","161","100"
"35063","65746","TEL","సింద్ బాద్ సాహస యాత్రలు ","SINDBAD SAHASA YATRALU","RAMACHANDRA ICCHAVARAPU","SOMNATH PUBLISHERS","RAJAHMUNDRY","894.82732","56","15"
"35064","65747","TEL","సింధు నాగరికత ","SINDHU NAGARIKATHA","C V","PRAGATHI SAHITHI SAMITHI","VIJAYAWADA","934.011","150","10"
"35065","65748","TEL","సిందూర పద్మాలు","SINDHURA PADMALU","ఆర్.సంధ్యాదేవి SANDHYADEVI R","DEVENDRA  PUBLISHERS","VIJAYAWADA","894.827","234","11"
"35066","65749","TEL","సింధూర సంధ్య","SINDHURA SANDHYA","RAMADEVI MAMILLAPALLI DR","HILAISHI PRACHURANALU","HYDEARABAD","894.82719","58","50"
"35068","65751","TEL","సినెట్స్ ఆఫ్ సక్సెస్ ","SINETS OF SUCCESS","SURESH REDDY AKELLA","BANDALA PUBLICATIONS","HYDERABAD","001.076","320","69"
"35069","65752","TEL","సింగరేణి తెలంగాణ బొగ్గుగనుల వాస్తవ పరిస్దితిపై నివేదిక ","SINGARENI TELANGANA BOGGUGANULA VASTAVA PARISTITHIPAI NIVEEDAKA","MUDIL MD","నవోదయ, విజయవాడ BOOK HOUSE","HYDERABAD-27","338.2","54","10"
"35070","65753","TEL","సినీ బేతాళం ","SINI BETHALAM","SAI YARRAM SETTI","PALLAVI PUBLICAIONS","VIJAYAWADA","894.827313","328","25"
"35071","65754","TEL","సినిమా పిచ్చోళ్ళు ","SINIMA PICCHOLLU","VENKATESWARLU  BYNABOYINA","RACHIATA","SANTANUTALA PADU","894.827257","36","2.5"
"35072","65755","TEL","సినిమాగరల్ ","SINIMAGARAL","దామరాజు వెంకటసుబ్బారావు VENKATASUBBARAO DAMARAJU","KANDAPALLI VEERAVENKATAYYA","RAJAHMUNDRY","894.827213","95","1.8"
"35073","65756","TEL","సిప్పోచ్చింధి ","SIPPOCCHINDHI","దావల సన్యాసిరావు SANYASIRAO DHAVALA","PORT CULTURAL ASSOCIATION","VISAKHAPATNAM","894.82725","59","2"
"35074","65757","TEL","సర్ ఆర్ధార్ కాటన్ ","SIR ARDHAR KATAN","VEERABHADRARAO KOTTAPALLI","TELUGU VISWA VIDHYALAYAM","HYDERA BAD","926.2","136","3"
"35076","65759","TEL","సర్ జగదీశ్ చంద్రబోసు ","SIR JAGADEES CHANDRABOSU","BALAKRISHNA S","SRI MAHALAXMI BOOK ENTERPRISES","VIJAYAWADA","894.827925","48","3"
"35077","65760","TEL","సిరా రచనలు ","SIRAA RACHANALU","RAMACHANDRAREDDY S","నవోదయ, విజయవాడ BOOK  HOUSE","HYDEARABAD","894.8274","66","20"
